Asset Name,Serial Number,Status,Account Name,Product Code,Product Family,Product Family Short Name,Active Service,Territory,Service Contract Status Simple,Contract_Status_Clean,Service Start Date,Service End Date,has_active_contract,lat,lon,matched_appointment_account,match_method,match_score,matched
MFS3099 - Lucina Patient Simulator - Caucasian,MFS3099,Shipped,Moraine Valley Community College,LUCINA-01,Lucina,Lucina,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-14,2027-02-13,False,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
ARIA0697 - Aria Patient Simulator - Caucasian,ARIA0697,Shipped,Valencia College - West Campus,ARIA-01,Aria,Aria,0,North Florida,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-12,2027-02-11,False,28.5421218,-81.379045,Valencia College - West Campus,exact,100.0,True
ARIA0695DS - Aria Patient Simulator - Black/African American,ARIA0695DS,Shipped,MetroHealth Medical Center,ARIA-02,Aria,Aria,0,Great Lakes,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-12,2027-02-11,False,41.4996574,-81.6936772,MetroHealth Medical Center,exact,100.0,True
ARES1571 - Ares Simulator - Caucasian,ARES1571,Shipped,Methodist Le Bonheur Healthcare,ARES-01,Ares,Ares,0,Great Lakes,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-12,2031-02-11,False,,,,,,False
ARES1574 - Ares Simulator - Caucasian,ARES1574,Shipped,Methodist Le Bonheur Healthcare,ARES-01,Ares,Ares,0,Great Lakes,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-12,2031-02-11,False,,,,,,False
JUNO5078DS - Juno Simulator - Black/African American,JUNO5078DS,Shipped,The College of St. Scholastica - Duluth,JUNO-02,Juno,Juno,0,Northern Plains,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-11,2027-02-10,False,46.7838287,-92.1052679,The College of St. Scholastica - Duluth,exact,100.0,True
MFS3097 - Lucina Patient Simulator - Caucasian,MFS3097,Shipped,West Virginia School of Osteopathic Medicine,LUCINA-01,Lucina,Lucina,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-11,2027-02-10,False,37.8017879,-80.4456303,West Virginia School of Osteopathic Medicine,exact,100.0,True
"EVO000083 - Evo Base Package - Adult, Caucasian",EVO000083,Shipped,Florida Atlantic University COM Boca Campus,EVO-04,Evo,Evo,0,South Florida,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-11,2027-02-10,False,26.3586885,-80.0830984,Florida Atlantic University COM Boca Campus,exact,100.0,True
EVO000078 - Evo Modular Patient Simulator,EVO000078,Shipped,Galen College of Nursing - Tampa,EVO-00,Evo,Evo,0,North Florida,No Service Contract,No Service Contract,,,False,,,,,,False
APP1402 - Apollo Simulator - Pre-Hospital Caucasian,APP1402,Shipped,West Virginia University - Parkersburg,APOLLO-01,Apollo Pre-Hospital,Apollo,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-08,2031-02-07,False,39.2667309,-81.5620755,West Virginia University - Parkersburg,exact,100.0,True
"EVO000084 - Evo Base Package - Adult, Caucasian",EVO000084,Shipped,Memorial Healthcare System - Hollywood,EVO-04,Evo,Evo,0,South Florida,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-08,2027-02-07,False,,,,,,False
APP1409DS - Apollo Simulator - Pre-Hospital Black/African American,APP1409DS,Shipped,Northeast Alabama Community College,APOLLO-02,Apollo Pre-Hospital,Apollo,0,Gulf Coast,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-07,2030-02-06,False,34.4942536,-85.8477494,Northeast Alabama Community College,exact,100.0,True
MFS3090 - Lucina Patient Simulator - Caucasian,MFS3090,Shipped,Three Rivers College,LUCINA-01,Lucina,Lucina,0,West Plains,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-06,2027-02-05,False,,,,,,False
JUNO5075 - Juno Complete,JUNO5075,Shipped,Southern Wesleyan University,JUN-300,Juno,Juno,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2027-02-03,False,,,,,,False
JUNO5076 - Juno Complete,JUNO5076,Shipped,Southern Wesleyan University,JUN-300,Juno,Juno,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2027-02-03,False,,,,,,False
JUNO5070DS - Juno Complete,JUNO5070DS,Shipped,Southern Wesleyan University,JUN-300,Juno,Juno,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2027-02-03,False,,,,,,False
JUNO5073DS - Juno Complete,JUNO5073DS,Shipped,Southern Wesleyan University,JUN-300,Juno,Juno,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2027-02-03,False,,,,,,False
JUNO5085 - Juno Simulator - Caucasian,JUNO5085,Shipped,Corban University,JUNO-01,Juno,Juno,0,Pacific Northwest,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2029-02-03,False,,,,,,False
APN0591 - Apollo Simulator - Nursing Caucasian,APN0591,Shipped,Bossier Parish Community College,APOLLO-03,Apollo Nursing,Apollo,0,Gulf Coast,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2027-02-03,False,32.515887,-93.7336536,Bossier Parish Community College,exact,100.0,True
ARES1573 - Ares Simulator - Caucasian,ARES1573,Shipped,Concorde Career College - Dallas,ARES-01,Ares,Ares,0,North Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-04,2027-02-03,False,,,,,,False
JUNO5052 - Juno Complete,JUNO5052,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5058 - Juno Complete,JUNO5058,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5050 - Juno Complete,JUNO5050,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5024DS - Juno Complete,JUNO5024DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5025DS - Juno Complete,JUNO5025DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5043 - Juno Complete,JUNO5043,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5057 - Juno Complete,JUNO5057,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5053 - Juno Complete,JUNO5053,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5077 - Juno Complete,JUNO5077,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5039DS - Juno Complete,JUNO5039DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5060DS - Juno Complete,JUNO5060DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5071DS - Juno Complete,JUNO5071DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5074DS - Juno Complete,JUNO5074DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
JUNO5079DS - Juno Complete,JUNO5079DS,Shipped,Galen College of Nursing - Houston,JUN-300,Juno,Juno,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
"APN0594 - Apollo Nursing Patient Simulator, Maestro",APN0594,Shipped,Galen College of Nursing - Houston,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
MFS3092 - Lucina Patient Simulator with Maestro,MFS3092,Shipped,Galen College of Nursing - Houston,FLEX-MFS-MAESTRO,Lucina,Lucina,0,South Texas,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2031-01-31,False,29.7589382,-95.3676974,Galen College of Nursing - Houston,exact,100.0,True
"EVO000080 - Evo Base Package - Adult, Caucasian",EVO000080,Shipped,Anderson University South Carolina,EVO-04,Evo,Evo,0,Carolinas/Virginias,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-02-01,2029-01-31,False,,,,,,False
APN0589 - Apollo Simulator - Nursing Caucasian,APN0589,Shipped,Carle Illinois College of Medicine,APOLLO-03,Apollo Nursing,Apollo,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
MFS3094 - Lucina Patient Simulator - Caucasian,MFS3094,Shipped,Carle Illinois College of Medicine,LUCINA-01,Lucina,Lucina,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
