Asset Name,Serial Number,Status,Account Name,Product Code,Product Family,Product Family Short Name,Active Service,Territory,Service Contract Status Simple,Contract_Status_Clean,Service Start Date,Service End Date,has_active_contract,lat,lon,matched
VMDX2606 - Elevate Vimedix Abdominal Ultrasound Simulator Base Unit-Abdominal,VMDX2606,Shipped,North Jefferson County Ambulance District,VIM-008.1,Vimedix,Vimedix,1,West Plains,Active Service Contract,Active Service Contract,2026-01-16,2032-01-15,True,,,False
APP1404 - Apollo Simulator - Pre-Hospital Caucasian,APP1404,Shipped,Kansas City University - Joplin Campus,APOLLO-01,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2026-01-16,2031-01-15,True,38.23613877142857,-94.55036884285714,True
ARES1570 - Ares Simulator - Caucasian,ARES1570,Shipped,Wichita State University Tech,ARES-01,Ares,Ares,1,West Plains,Active Service Contract,Active Service Contract,2026-01-16,2027-01-15,True,,,False
JUNO5047 - Juno Simulator - Caucasian,JUNO5047,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5054 - Juno Simulator - Caucasian,JUNO5054,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5044 - Juno Simulator - Caucasian,JUNO5044,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5056 - Juno Simulator - Caucasian,JUNO5056,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5048 - Juno Simulator - Caucasian,JUNO5048,Shipped,Nash Community College,JUNO-01,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2026-01-09,2028-01-08,True,41.5571178,-83.6279321,True
JUNO5055 - Juno Simulator - Caucasian,JUNO5055,Shipped,Nash Community College,JUNO-01,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2026-01-09,2028-01-08,True,41.5571178,-83.6279321,True
JUNO5040DS - Juno Simulator - Black/African American,JUNO5040DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
