Territory,total_assets,matched_assets,unique_accounts,unmatched_assets
Canada,170,52,59,118
Carolinas/Virginias,357,294,101,63
Great Lakes,320,224,109,96
Gulf Coast,155,137,41,18
Illinois,159,117,56,42
Mid Atlantic,91,78,21,13
NY/NJ,59,47,23,12
New England,89,65,38,24
North Florida,380,138,89,242
North Texas,182,172,34,10
Northern California,59,30,22,29
Northern Plains,184,160,60,24
Pacific Northwest,39,34,10,5
South Florida,159,49,36,110
South Texas,151,126,30,25
Southern California,111,74,32,37
Southwest,173,147,42,26
Upstate NY/Western PA,55,36,20,19
West Plains,194,163,65,31
