airport_code,faa_hub_class,cy_24_enplanements,source_year,source
ABQ,medium_hub,2690218,2024,faa_cy2024_commercial_service_enplanements
ANC,medium_hub,2767856,2024,faa_cy2024_commercial_service_enplanements
ATL,large_hub,52511402,2024,faa_cy2024_commercial_service_enplanements
AUS,large_hub,10678073,2024,faa_cy2024_commercial_service_enplanements
BHM,small_hub,1596510,2024,faa_cy2024_commercial_service_enplanements
BIL,nonhub,475334,2024,faa_cy2024_commercial_service_enplanements
BIS,nonhub,295900,2024,faa_cy2024_commercial_service_enplanements
BNA,large_hub,12058688,2024,faa_cy2024_commercial_service_enplanements
BOI,medium_hub,2475370,2024,faa_cy2024_commercial_service_enplanements
BOS,large_hub,21090721,2024,faa_cy2024_commercial_service_enplanements
BUF,medium_hub,2499295,2024,faa_cy2024_commercial_service_enplanements
BWI,large_hub,13221461,2024,faa_cy2024_commercial_service_enplanements
CLE,medium_hub,4950345,2024,faa_cy2024_commercial_service_enplanements
CLT,large_hub,28523822,2024,faa_cy2024_commercial_service_enplanements
CMH,medium_hub,4387395,2024,faa_cy2024_commercial_service_enplanements
CVG,medium_hub,4500414,2024,faa_cy2024_commercial_service_enplanements
DCA,large_hub,12750892,2024,faa_cy2024_commercial_service_enplanements
DEN,large_hub,40012895,2024,faa_cy2024_commercial_service_enplanements
DFW,large_hub,42351316,2024,faa_cy2024_commercial_service_enplanements
DSM,small_hub,1555454,2024,faa_cy2024_commercial_service_enplanements
DTW,large_hub,16110696,2024,faa_cy2024_commercial_service_enplanements
EWR,large_hub,24544320,2024,faa_cy2024_commercial_service_enplanements
FAR,small_hub,552860,2024,faa_cy2024_commercial_service_enplanements
IAD,large_hub,13003234,2024,faa_cy2024_commercial_service_enplanements
IAH,large_hub,23349157,2024,faa_cy2024_commercial_service_enplanements
ICT,small_hub,885585,2024,faa_cy2024_commercial_service_enplanements
IND,medium_hub,5181947,2024,faa_cy2024_commercial_service_enplanements
JAX,medium_hub,3749791,2024,faa_cy2024_commercial_service_enplanements
JFK,large_hub,31466102,2024,faa_cy2024_commercial_service_enplanements
LAS,large_hub,28244966,2024,faa_cy2024_commercial_service_enplanements
LAX,large_hub,37760834,2024,faa_cy2024_commercial_service_enplanements
LGA,large_hub,16715567,2024,faa_cy2024_commercial_service_enplanements
LIT,small_hub,1145693,2024,faa_cy2024_commercial_service_enplanements
MCI,medium_hub,5915078,2024,faa_cy2024_commercial_service_enplanements
MCO,large_hub,27859783,2024,faa_cy2024_commercial_service_enplanements
MDW,large_hub,10360093,2024,faa_cy2024_commercial_service_enplanements
MEM,small_hub,2439366,2024,faa_cy2024_commercial_service_enplanements
MIA,large_hub,26588002,2024,faa_cy2024_commercial_service_enplanements
MKE,medium_hub,3104054,2024,faa_cy2024_commercial_service_enplanements
MSP,large_hub,18054481,2024,faa_cy2024_commercial_service_enplanements
MSY,medium_hub,6537092,2024,faa_cy2024_commercial_service_enplanements
OKC,small_hub,2243575,2024,faa_cy2024_commercial_service_enplanements
OMA,medium_hub,2583212,2024,faa_cy2024_commercial_service_enplanements
ONT,medium_hub,3494554,2024,faa_cy2024_commercial_service_enplanements
ORD,large_hub,38575693,2024,faa_cy2024_commercial_service_enplanements
PDX,medium_hub,8639088,2024,faa_cy2024_commercial_service_enplanements
PHL,large_hub,15102261,2024,faa_cy2024_commercial_service_enplanements
PHX,large_hub,25595723,2024,faa_cy2024_commercial_service_enplanements
PIT,medium_hub,4862376,2024,faa_cy2024_commercial_service_enplanements
RDU,medium_hub,7584394,2024,faa_cy2024_commercial_service_enplanements
SAN,large_hub,12780013,2024,faa_cy2024_commercial_service_enplanements
SAT,medium_hub,5466684,2024,faa_cy2024_commercial_service_enplanements
SEA,large_hub,25414592,2024,faa_cy2024_commercial_service_enplanements
SFO,large_hub,25078968,2024,faa_cy2024_commercial_service_enplanements
SHV,nonhub,352281,2024,faa_cy2024_commercial_service_enplanements
SJC,medium_hub,5822019,2024,faa_cy2024_commercial_service_enplanements
SLC,large_hub,13543570,2024,faa_cy2024_commercial_service_enplanements
SMF,medium_hub,6679426,2024,faa_cy2024_commercial_service_enplanements
STL,medium_hub,7807362,2024,faa_cy2024_commercial_service_enplanements
TPA,large_hub,12075591,2024,faa_cy2024_commercial_service_enplanements
TUL,small_hub,1627181,2024,faa_cy2024_commercial_service_enplanements
TUS,small_hub,1959789,2024,faa_cy2024_commercial_service_enplanements
